-0.004,0.034,1.004,0.004,0.034
-0.004,0.035,1.005,0.004,0.035
-0.004,0.035,1.004,0.004,0.035
-0.003,0.035,1.005,0.003,0.035
-0.003,0.035,1.004,0.003,0.035
-0.003,0.035,1.002,0.003,0.035
-0.003,0.035,1.002,0.003,0.035
-0.003,0.035,1.002,0.003,0.035
-0.003,0.036,1.002,0.003,0.036
-0.002,0.036,1.002,0.002,0.036
-0.002,0.037,1.002,0.002,0.037
-0.003,0.037,1.003,0.003,0.036
-0.002,0.036,1.003,0.002,0.036
-0.003,0.037,1.004,0.003,0.037
-0.002,0.036,1.003,0.002,0.036
0.003,0.036,1.003,-0.003,0.036
0.018,0.033,1.005,-0.018,0.033
0.034,0.024,1.005,-0.034,0.024
0.043,0.010,1.005,-0.043,0.010
0.045,-0.005,1.004,-0.045,-0.005
0.043,-0.018,1.006,-0.042,-0.017
0.037,-0.025,1.006,-0.037,-0.025
0.025,-0.020,1.012,-0.025,-0.020
0.015,-0.013,1.007,-0.015,-0.013
0.006,-0.004,1.008,-0.006,-0.004
0.000,0.004,1.006,-0.000,0.004
-0.004,0.010,1.005,0.004,0.010
-0.008,0.012,1.002,0.008,0.012
-0.008,0.011,1.003,0.008,0.011
-0.008,0.015,1.004,0.008,0.015
-0.006,0.023,1.006,0.006,0.023
-0.004,0.029,1.006,0.004,0.029
-0.007,0.034,1.004,0.007,0.034
-0.012,0.041,1.007,0.012,0.040
-0.012,0.046,1.006,0.012,0.046
-0.011,0.053,1.004,0.011,0.053
-0.009,0.057,1.002,0.009,0.057
-0.008,0.061,1.003,0.008,0.061
-0.007,0.062,1.005,0.007,0.062
-0.008,0.059,1.004,0.007,0.059
-0.010,0.056,1.005,0.010,0.056
-0.013,0.051,1.005,0.013,0.051
-0.015,0.044,1.005,0.015,0.043
-0.017,0.036,1.006,0.017,0.036
-0.021,0.032,1.006,0.021,0.032
-0.023,0.031,1.005,0.023,0.031
-0.027,0.035,1.005,0.027,0.035
-0.028,0.039,1.005,0.028,0.039
-0.029,0.041,1.006,0.029,0.040
-0.030,0.041,1.005,0.030,0.041
-0.029,0.041,1.004,0.029,0.040
-0.028,0.040,1.005,0.028,0.040
-0.026,0.037,1.003,0.026,0.037
-0.026,0.036,1.004,0.026,0.036
-0.024,0.036,1.004,0.024,0.036
-0.022,0.037,1.004,0.022,0.036
-0.020,0.040,1.004,0.019,0.040
-0.018,0.044,1.004,0.017,0.044
-0.017,0.047,1.004,0.017,0.047
-0.018,0.049,1.002,0.018,0.049
-0.018,0.048,1.002,0.018,0.048
-0.016,0.050,1.002,0.016,0.049
-0.015,0.049,1.002,0.015,0.049
-0.012,0.049,1.004,0.012,0.049
-0.006,0.050,1.004,0.006,0.049
-0.002,0.050,1.004,0.002,0.050
0.002,0.051,1.004,-0.002,0.051
0.004,0.053,1.004,-0.004,0.053
0.006,0.053,1.005,-0.005,0.052
0.005,0.051,1.006,-0.005,0.051
0.006,0.051,1.005,-0.006,0.051
0.005,0.050,1.004,-0.005,0.049
0.005,0.049,1.004,-0.005,0.048
